{'priority': '0', 'block_id': 0, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 0.0, 'queue_ms': 0.0, 'propagation_ms': 2.3685709782240734, 'transmition_ms': 13.75, 'finish_timestamp': 13.75, 'miss_ddl': 0}
{'priority': '1', 'block_id': 1, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 10.0, 'queue_ms': 3.75, 'propagation_ms': 2.0699933399299457, 'transmition_ms': 10.0, 'finish_timestamp': 23.75, 'miss_ddl': 0}
{'priority': '2', 'block_id': 2, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 20.0, 'queue_ms': 3.75, 'propagation_ms': 2.4389821595615278, 'transmition_ms': 11.25, 'finish_timestamp': 35.0, 'miss_ddl': 0}
{'priority': '0', 'block_id': 3, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 30.0, 'queue_ms': 5.0, 'propagation_ms': 2.47874355200767, 'transmition_ms': 13.333333333333334, 'finish_timestamp': 48.333333333333336, 'miss_ddl': 0}
{'priority': '1', 'block_id': 4, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 40.0, 'queue_ms': 8.333333333333336, 'propagation_ms': 2.3031024914949336, 'transmition_ms': 10.416666666666664, 'finish_timestamp': 58.75, 'miss_ddl': 0}
{'priority': '2', 'block_id': 5, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 50.0, 'queue_ms': 8.75, 'propagation_ms': 2.351250165095542, 'transmition_ms': 8.25, 'finish_timestamp': 67.0, 'miss_ddl': 0}
{'priority': '0', 'block_id': 6, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 60.0, 'queue_ms': 7.0, 'propagation_ms': 2.4111078993452852, 'transmition_ms': 8.0, 'finish_timestamp': 75.0, 'miss_ddl': 0}
{'priority': '1', 'block_id': 7, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 70.0, 'queue_ms': 5.0, 'propagation_ms': 2.495313872750517, 'transmition_ms': 8.0, 'finish_timestamp': 83.0, 'miss_ddl': 0}
{'priority': '2', 'block_id': 8, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 80.0, 'queue_ms': 3.0, 'propagation_ms': 2.395523740550325, 'transmition_ms': 8.0, 'finish_timestamp': 91.0, 'miss_ddl': 0}
{'priority': '0', 'block_id': 9, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 90.0, 'queue_ms': 1.0, 'propagation_ms': 2.1207826992944234, 'transmition_ms': 8.0, 'finish_timestamp': 99.0, 'miss_ddl': 0}
{'priority': '1', 'block_id': 10, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 100.0, 'queue_ms': 0.0, 'propagation_ms': 2.099610792533026, 'transmition_ms': 20.0, 'finish_timestamp': 120.0, 'miss_ddl': 0}
{'priority': '2', 'block_id': 11, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 110.0, 'queue_ms': 10.0, 'propagation_ms': 2.025262068126241, 'transmition_ms': 20.0, 'finish_timestamp': 140.0, 'miss_ddl': 0}
{'priority': '0', 'block_id': 12, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 120.0, 'queue_ms': 20.0, 'propagation_ms': 2.09224761364466, 'transmition_ms': 13.333333333333334, 'finish_timestamp': 153.33333333333334, 'miss_ddl': 0}
{'priority': '1', 'block_id': 13, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 130.0, 'queue_ms': 23.333333333333343, 'propagation_ms': 2.441535530990952, 'transmition_ms': 6.666666666666667, 'finish_timestamp': 160.0, 'miss_ddl': 0}
{'priority': '2', 'block_id': 14, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 140.0, 'queue_ms': 20.0, 'propagation_ms': 2.4616938538565027, 'transmition_ms': 6.666666666666667, 'finish_timestamp': 166.66666666666666, 'miss_ddl': 0}
{'priority': '0', 'block_id': 15, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 150.0, 'queue_ms': 16.666666666666657, 'propagation_ms': 2.090226411408561, 'transmition_ms': 6.666666666666667, 'finish_timestamp': 173.33333333333331, 'miss_ddl': 0}
{'priority': '1', 'block_id': 16, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 160.0, 'queue_ms': 13.333333333333314, 'propagation_ms': 2.338050480817518, 'transmition_ms': 6.666666666666667, 'finish_timestamp': 179.99999999999997, 'miss_ddl': 0}
{'priority': '2', 'block_id': 17, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 170.0, 'queue_ms': 9.999999999999972, 'propagation_ms': 2.036387106006239, 'transmition_ms': 6.666666666666667, 'finish_timestamp': 186.66666666666663, 'miss_ddl': 0}
{'priority': '0', 'block_id': 18, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 180.0, 'queue_ms': 6.666666666666629, 'propagation_ms': 2.224601899367148, 'transmition_ms': 6.666666666666667, 'finish_timestamp': 193.3333333333333, 'miss_ddl': 0}
{'priority': '1', 'block_id': 19, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 190.0, 'queue_ms': 3.333333333333286, 'propagation_ms': 2.081099622079563, 'transmition_ms': 6.666666666666667, 'finish_timestamp': 199.99999999999994, 'miss_ddl': 0}
{'priority': '2', 'block_id': 20, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 200.0, 'queue_ms': 0.0, 'propagation_ms': 2.1846240486226187, 'transmition_ms': 4.0, 'finish_timestamp': 204.0, 'miss_ddl': 0}
{'priority': '0', 'block_id': 21, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 210.0, 'queue_ms': 0.0, 'propagation_ms': 2.408634847355882, 'transmition_ms': 4.0, 'finish_timestamp': 214.0, 'miss_ddl': 0}
{'priority': '1', 'block_id': 22, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 220.0, 'queue_ms': 0.0, 'propagation_ms': 2.1568684192388736, 'transmition_ms': 4.0, 'finish_timestamp': 224.0, 'miss_ddl': 0}
