{'Time': 0.0014285714285714286, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 1, 'Block_id': 0, 'Create_time': 0.0014285714285714286, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.0024285714285714284, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.001, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 1, 'Block_id': 0, 'Create_time': 0.0014285714285714286, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.002857142857142857, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 2, 'Block_id': 0, 'Create_time': 0.002857142857142857, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.0034285714285714284, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.002, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 1, 'Block_id': 0, 'Create_time': 0.0014285714285714286, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.003928571428571429, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0010714285714285715, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 2, 'Block_id': 0, 'Create_time': 0.002857142857142857, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.004285714285714286, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3, 'Block_id': 0, 'Create_time': 0.004285714285714286, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.004928571428571429, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0020714285714285713, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 2, 'Block_id': 0, 'Create_time': 0.002857142857142857, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.0054285714285714284, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0011428571428571427, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3, 'Block_id': 0, 'Create_time': 0.004285714285714286, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.005714285714285714, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 4, 'Block_id': 0, 'Create_time': 0.005714285714285714, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.0064285714285714285, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0021428571428571425, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3, 'Block_id': 0, 'Create_time': 0.004285714285714286, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.006928571428571429, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0012142857142857144, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 4, 'Block_id': 0, 'Create_time': 0.005714285714285714, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.007142857142857143, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 5, 'Block_id': 0, 'Create_time': 0.007142857142857143, 'Deadline': 0.2, 'Offset': 4, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.007928571428571429, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0022142857142857146, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 4, 'Block_id': 0, 'Create_time': 0.005714285714285714, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.00842857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.001285714285714286, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 5, 'Block_id': 0, 'Create_time': 0.007142857142857143, 'Deadline': 0.2, 'Offset': 4, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.008571428571428572, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 6, 'Block_id': 0, 'Create_time': 0.008571428571428572, 'Deadline': 0.2, 'Offset': 5, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.009428571428571429, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.002285714285714286, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 5, 'Block_id': 0, 'Create_time': 0.007142857142857143, 'Deadline': 0.2, 'Offset': 4, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.009928571428571429, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.001357142857142857, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 6, 'Block_id': 0, 'Create_time': 0.008571428571428572, 'Deadline': 0.2, 'Offset': 5, 'Payload': 1480, 'Packet_size': 1500}
